"IMAGE INTENSIFICATION BASED DEVICES",""
"DEVICE NAME","RANGE(m)"
"Integrated Observation Equipment","2000"
"Passive Night Vision Binocular (Mk-I)","500"
"Passive Night Vision Goggles","225"
"Passive Night Sight for 84 mm Carl","500"
"Passive Night Sight for 5.56 mm Rifle","200"
"Passive Night Sight for 5.56 mm LMG","200"
"Passive Night Sight RCL Mk I","600"
"Passive Night Sight RCL Mk II","600"
"Driver Sight for T-55","100"
"Gunners Night Sight for T-55",">800"
"Balloon Lifted Imaging & Surveillance","4000"
"Goggles for Aireforce","250"
"Sight for 84 Mm","700"
